camdist,camang,pattdist,gap,pixrange
2500.0,90.0,2000.0,1.0,[100, 2500]
R,sx,sy
29853.8108282,0.322009277438,29852.7864717
ldx,ldy,slopeerror,vsm
-801.073352563,9.73347696076,-2.04486709104e-05,-1325.36084687
-800.406778022,9.71559063115,-2.04143313326e-05,-1324.27315921
-799.740189169,9.69771879424,-2.03800465695e-05,-1323.18541093
-799.073586016,9.67986145129,-2.03458166126e-05,-1322.09760208
-798.406968573,9.66201860358,-2.03116414561e-05,-1321.00973269
-797.740336851,9.64419025237,-2.02775210924e-05,-1319.92180282
-797.073690863,9.62637639894,-2.02434555142e-05,-1318.83381251
-796.40703062,9.60857704454,-2.02094447148e-05,-1317.7457618
-795.740356132,9.59079219046,-2.01754886868e-05,-1316.65765075
-795.073667412,9.57302183795,-2.01415874228e-05,-1315.56947938
-794.40696447,9.55526598829,-2.01077409153e-05,-1314.48124776
-793.740247318,9.53752464273,-2.00739491573e-05,-1313.39295591
-793.073515967,9.51979780254,-2.00402121411e-05,-1312.3046039
-792.406770429,9.50208546899,-2.00065298587e-05,-1311.21619176
-791.740010715,9.48438764332,-1.99729023028e-05,-1310.12771954
-791.073236836,9.46670432682,-1.99393294654e-05,-1309.03918728
-790.406448804,9.44903552073,-1.99058113397e-05,-1307.95059503
-789.739646629,9.43138122632,-1.98723479166e-05,-1306.86194284
-789.072830324,9.41374144484,-1.9838939189e-05,-1305.77323074
-788.4059999,9.39611617755,-1.98055851489e-05,-1304.68445879
-787.739155368,9.3785054257,-1.97722857875e-05,-1303.59562702
-787.072296739,9.36090919056,-1.97390410976e-05,-1302.50673549
-786.405424025,9.34332747338,-1.97058510708e-05,-1301.41778424
-785.738537238,9.3257602754,-1.96727156988e-05,-1300.32877331
-785.071636387,9.30820759789,-1.9639634973e-05,-1299.23970275
-784.404721486,9.29066944209,-1.96066088854e-05,-1298.1505726
-783.737792545,9.27314580925,-1.95736374277e-05,-1297.06138291
-783.070849575,9.25563670063,-1.95407205913e-05,-1295.97213373
-782.403892589,9.23814211747,-1.95078583671e-05,-1294.8828251
-781.736921597,9.22066206102,-1.94750507476e-05,-1293.79345706
-781.06993661,9.20319653253,-1.94422977229e-05,-1292.70402966
-780.402937641,9.18574553324,-1.94095992852e-05,-1291.61454295
-779.7359247,9.1683090644,-1.9376955425e-05,-1290.52499696
-779.068897799,9.15088712726,-1.93443661335e-05,-1289.43539176
-778.401856949,9.13347972305,-1.93118314023e-05,-1288.34572737
-777.734802162,9.11608685301,-1.92793512214e-05,-1287.25600385
-777.067733449,9.0987085184,-1.92469255832e-05,-1286.16622124
-776.400650822,9.08134472045,-1.9214554477e-05,-1285.07637958
-775.733554291,9.06399546039,-1.91822378947e-05,-1283.98647893
-775.066443868,9.04666073947,-1.9149975826e-05,-1282.89651933
-774.399319565,9.02934055893,-1.91177682628e-05,-1281.80650082
-773.732181393,9.01203492,-1.90856151946e-05,-1280.71642344
-773.065029363,8.99474382391,-1.90535166126e-05,-1279.62628725
-772.397863488,8.97746727191,-1.90214725067e-05,-1278.53609229
-771.730683777,8.96020526522,-1.89894828677e-05,-1277.4458386
-771.063490242,8.94295780508,-1.89575476858e-05,-1276.35552623
-770.396282896,8.92572489272,-1.89256669514e-05,-1275.26515523
-769.729061749,8.90850652937,-1.88938406539e-05,-1274.17472563
-769.061826813,8.89130271626,-1.8862068785e-05,-1273.0842375
-768.394578099,8.87411345462,-1.8830351333e-05,-1271.99369086
-767.727315619,8.85693874568,-1.8798688289e-05,-1270.90308577
-767.060039383,8.83977859067,-1.87670796425e-05,-1269.81242227
-766.392749404,8.8226329908,-1.87355253836e-05,-1268.72170041
-765.725445693,8.80550194731,-1.87040255019e-05,-1267.63092023
-765.058128261,8.78838546142,-1.86725799876e-05,-1266.54008178
-764.39079712,8.77128353436,-1.86411888291e-05,-1265.44918511
-763.723452281,8.75419616734,-1.86098520173e-05,-1264.35823025
-763.056093755,8.73712336159,-1.85785695412e-05,-1263.26721726
-762.388721554,8.72006511833,-1.85473413903e-05,-1262.17614618
-761.721335689,8.70302143877,-1.85161675538e-05,-1261.08501706
-761.053936172,8.68599232415,-1.84850480213e-05,-1259.99382994
-760.386523015,8.66897777566,-1.84539827822e-05,-1258.90258487
-759.719096228,8.65197779454,-1.84229718253e-05,-1257.81128189
-759.051655822,8.63499238199,-1.83920151398e-05,-1256.71992105
-758.384201811,8.61802153924,-1.83611127149e-05,-1255.62850239
-757.716734204,8.60106526749,-1.83302645393e-05,-1254.53702597
-757.049253014,8.58412356796,-1.8299470602e-05,-1253.44549182
-756.381758251,8.56719644186,-1.8268730892e-05,-1252.35389999
-755.714249927,8.5502838904,-1.82380453982e-05,-1251.26225053
-755.046728055,8.53338591479,-1.82074141091e-05,-1250.17054349
-754.379192644,8.51650251624,-1.81768370133e-05,-1249.0787789
-753.711643707,8.49963369596,-1.81463140994e-05,-1247.98695682
-753.044081254,8.48277945515,-1.81158453564e-05,-1246.89507729
-752.376505298,8.46593979503,-1.80854307718e-05,-1245.80314035
-751.70891585,8.44911471679,-1.80550703348e-05,-1244.71114606
-751.041312921,8.43230422165,-1.80247640334e-05,-1243.61909445
-750.373696523,8.4155083108,-1.79945118557e-05,-1242.52698558
-749.706066667,8.39872698545,-1.79643137902e-05,-1241.43481949
-749.038423365,8.3819602468,-1.79341698254e-05,-1240.34259622
-748.370766628,8.36520809605,-1.79040799479e-05,-1239.25031583
-747.703096467,8.34847053439,-1.78740441471e-05,-1238.15797835
-747.035412894,8.33174756304,-1.78440624104e-05,-1237.06558384
-746.367715921,8.31503918317,-1.78141347253e-05,-1235.97313234
-745.700005559,8.29834539601,-1.77842610803e-05,-1234.88062389
-745.032281819,8.28166620273,-1.77544414618e-05,-1233.78805854
-744.364544713,8.26500160453,-1.77246758589e-05,-1232.69543634
-743.696794252,8.24835160261,-1.76949642586e-05,-1231.60275733
-743.029030449,8.23171619816,-1.76653066487e-05,-1230.51002156
-742.361253313,8.21509539237,-1.76357030159e-05,-1229.41722907
-741.693462857,8.19848918643,-1.76061533479e-05,-1228.32437992
-741.025659092,8.18189758153,-1.75766576324e-05,-1227.23147415
-740.35784203,8.16532057887,-1.7547215856e-05,-1226.13851179
-739.690011682,8.14875817963,-1.75178280065e-05,-1225.04549291
-739.02216806,8.13221038499,-1.74884940704e-05,-1223.95241754
-738.354311174,8.11567719615,-1.74592140351e-05,-1222.85928573
-737.686441038,8.09915861428,-1.74299878872e-05,-1221.76609753
-737.018557661,8.08265464058,-1.74008156137e-05,-1220.67285299
-736.350661056,8.06616527623,-1.73716972022e-05,-1219.57955214
-735.682751234,8.0496905224,-1.73426326382e-05,-1218.48619504
-735.014828206,8.03323038028,-1.73136219091e-05,-1217.39278173
-734.346891984,8.01678485105,-1.72846650013e-05,-1216.29931226
-733.67894258,8.0003539359,-1.7255761902e-05,-1215.20578668
-733.010980005,7.98393763599,-1.72269125964e-05,-1214.11220502
-732.34300427,7.96753595251,-1.71981170721e-05,-1213.01856734
-731.675015387,7.95114888663,-1.71693753147e-05,-1211.92487369
-731.007013368,7.93477643953,-1.71406873101e-05,-1210.8311241
-730.338998223,7.91841861238,-1.71120530457e-05,-1209.73731863
-729.670969965,7.90207540636,-1.70834725076e-05,-1208.64345732
-729.002928605,7.88574682263,-1.70549456808e-05,-1207.54954022
-728.334874155,7.86943286238,-1.70264725515e-05,-1206.45556737
-727.666806625,7.85313352678,-1.69980531061e-05,-1205.36153882
-726.998726028,7.83684881698,-1.69696873305e-05,-1204.26745462
-726.330632374,7.82057873416,-1.69413752105e-05,-1203.17331482
-725.662525676,7.8043232795,-1.69131167313e-05,-1202.07911945
-724.994405946,7.78808245415,-1.68849118788e-05,-1200.98486857
-724.326273193,7.77185625928,-1.68567606388e-05,-1199.89056222
-723.658127431,7.75564469606,-1.6828662997e-05,-1198.79620045
-722.98996867,7.73944776565,-1.6800618938e-05,-1197.70178331
-722.321796922,7.72326546922,-1.67726284478e-05,-1196.60731084
-721.653612198,7.70709780792,-1.67446915123e-05,-1195.51278308
-720.985414511,7.69094478292,-1.67168081153e-05,-1194.41820009
-720.317203871,7.67480639538,-1.66889782428e-05,-1193.32356191
-719.64898029,7.65868264645,-1.66612018801e-05,-1192.22886859
-718.98074378,7.6425735373,-1.66334790119e-05,-1191.13412017
-718.312494352,7.62647906909,-1.66058096233e-05,-1190.0393167
-717.644232018,7.61039924296,-1.65781936989e-05,-1188.94445823
-716.975956789,7.59433406008,-1.65506312237e-05,-1187.84954481
-716.307668676,7.5782835216,-1.65231221829e-05,-1186.75457647
-715.639367692,7.56224762867,-1.64956665609e-05,-1185.65955327
-714.971053848,7.54622638245,-1.64682643417e-05,-1184.56447525
-714.302727155,7.53021978408,-1.64409155107e-05,-1183.46934246
-713.634387624,7.51422783472,-1.64136200519e-05,-1182.37415495
-712.966035268,7.49825053552,-1.63863779501e-05,-1181.27891276
-712.297670098,7.48228788763,-1.63591891894e-05,-1180.18361594
-711.629292126,7.46633989219,-1.63320537535e-05,-1179.08826453
-710.960901362,7.45040655034,-1.63049716278e-05,-1177.99285859
-710.292497819,7.43448786325,-1.62779427962e-05,-1176.89739816
-709.624081508,7.41858383204,-1.62509672417e-05,-1175.80188328
-708.955652441,7.40269445787,-1.62240449492e-05,-1174.70631401
-708.287210629,7.38681974188,-1.61971759024e-05,-1173.61069039
-707.618756084,7.37095968521,-1.61703600855e-05,-1172.51501246
-706.950288816,7.355114289,-1.61435974817e-05,-1171.41928027
-706.281808839,7.33928355438,-1.61168880749e-05,-1170.32349388
-705.613316163,7.32346748251,-1.60902318492e-05,-1169.22765332
-704.9448108,7.30766607451,-1.60636287876e-05,-1168.13175864
-704.276292762,7.29187933153,-1.60370788737e-05,-1167.03580989
-703.607762059,7.27610725469,-1.60105820912e-05,-1165.93980712
-702.939218704,7.26034984515,-1.59841384236e-05,-1164.84375038
-702.270662708,7.24460710402,-1.59577478535e-05,-1163.7476397
-701.602094083,7.22887903244,-1.59314103648e-05,-1162.65147514
-700.933512841,7.21316563155,-1.59051259403e-05,-1161.55525675
-700.264918992,7.19746690247,-1.58788945637e-05,-1160.45898456
-699.596312548,7.18178284634,-1.58527162173e-05,-1159.36265864
-698.927693522,7.16611346428,-1.58265908843e-05,-1158.26627902
-698.259061924,7.15045875743,-1.58005185476e-05,-1157.16984574
-697.590417766,7.13481872691,-1.57744991901e-05,-1156.07335887
-696.92176106,7.11919337384,-1.5748532794e-05,-1154.97681845
-696.253091817,7.10358269936,-1.5722619343e-05,-1153.88022451
